YY,MM,RR
1961,5,0.1377358491
1961,5,-3.4622641509
1961,5,-3.9622641509
1961,5,-2.1622641509
1961,5,-2.6622641509
1961,5,-3.9622641509
1961,5,-3.9622641509
1961,5,-3.9622641509
1961,5,-3.9622641509
1961,5,-3.9622641509
1961,5,35.4377358491
1961,5,-2.9622641509
1961,5,21.9377358491
1961,5,-3.9622641509
1961,5,0.3377358491
1961,5,0.6377358491
1961,5,-1.9622641509
1961,5,5.7377358491
1961,5,-3.9622641509
1961,5,-3.9622641509
1961,5,-1.9622641509
1961,5,-3.9622641509
1961,5,-3.9622641509
1961,5,-3.6622641509
1961,5,53.9377358491
1961,5,27.0377358491
1961,5,-1.6622641509
1961,5,-3.9622641509
1961,5,-2.1622641509
1961,5,-3.9622641509
1961,5,-3.9622641509
1961,6,-3.9622641509
1961,6,-3.9622641509
1961,6,16.8377358491
1961,6,7.7377358491
1961,6,-2.9622641509
1961,6,-0.8622641509
1961,6,-3.9622641509
1961,6,-3.9622641509
1961,6,-3.9622641509
1961,6,-3.6622641509
1961,6,4.6377358491
1961,6,-3.9622641509
1961,6,-3.6622641509
1961,6,1.1377358491
1961,6,-3.9622641509
1961,6,-3.9622641509
1961,6,-3.9622641509
1961,6,6.9377358491
1961,6,3.1377358491
1961,6,-3.9622641509
1961,6,0.1377358491
1961,6,-2.4622641509
1961,6,-1.1622641509
1961,6,11.8377358491
1961,6,105.5377358491
1961,6,136.0377358491
1961,6,21.7377358491
1961,6,53.2377358491
1961,6,5.4377358491
1961,6,136.2377358491
1961,7,115.6377358491
1961,7,27.2377358491
1961,7,-3.1622641509
1961,7,39.9377358491
1961,7,-1.1622641509
1961,7,48.3377358491
1961,7,41.5377358491
1961,7,-3.1622641509
1961,7,8.4377358491
1961,7,25.0377358491
1961,7,62.3377358491
1961,7,112.6377358491
1961,7,151.7377358491
1961,7,18.6377358491
1961,7,2.9377358491
1961,7,17.3377358491
1961,7,35.1377358491
1961,7,17.6377358491
1961,7,15.8377358491
1961,7,-3.9622641509
1961,7,10.0377358491
1961,7,-3.9622641509
1961,7,7.2377358491
1961,7,-3.9622641509
1961,7,10.2377358491
1961,7,7.7377358491
1961,7,48.8377358491
1961,7,70.4377358491
1961,7,30.0377358491
1961,7,1.1377358491
1961,7,-3.9622641509
1961,8,-3.9622641509
1961,8,-3.9622641509
1961,8,-3.9622641509
1961,8,-1.4622641509
1961,8,-3.6622641509
