Year,Pentad,RR
1981,1,4.26
1981,2,1.75
1981,3,0
1981,4,2.15
1981,5,0
1981,6,0.5666666667
1981,7,0.7
1981,8,0
1981,9,0
1981,10,0
1981,11,0
1981,12,0
1981,13,0
1981,14,0
1981,15,0
1981,16,0
1981,17,0
1981,18,0
1981,19,0
1981,20,0
1981,21,6.24
1981,22,0.6
1981,23,30.8
1981,24,21.25
1981,25,3.75
1981,26,3.8
1981,27,14.06
1981,28,13.325
1981,29,5
1981,30,12.8
1981,31,16.8333333333
1981,32,10.625
1981,33,66.78
1981,34,22.22
1981,35,12.84
1981,36,15.4666666667
1981,37,30.85
1981,38,15.75
1981,39,17.9
1981,40,22.38
1981,41,15
1981,42,9.2666666667
1981,43,34.15
1981,44,36.48
1981,45,8.32
1981,46,31.7
1981,47,84.18
1981,48,34.84
1981,49,12.95
1981,50,11.5
1981,51,1.45
1981,52,10.825
1981,53,90.88
1981,54,4.06
1981,55,23.3
1981,56,8.78
1981,57,1.35
1981,58,0.96
1981,59,2.02
1981,60,12.925
1981,61,10.075
1981,62,0
1981,63,1.4333333333
1981,64,0
1981,65,0.925
1981,66,49.6
1981,67,0
1981,68,0
1981,69,0
1981,70,0
1981,71,0
1981,72,0.1333333333
1981,73,0
1982,1,0
1982,2,0
1982,3,0
1982,4,0
1982,5,0
1982,6,0
1982,7,0
1982,8,0
1982,9,3.24
1982,10,1.3
1982,11,0
1982,12,0
1982,13,0
1982,14,0
1982,15,0
1982,16,0
1982,17,2.225
1982,18,4.2
1982,19,22.84
1982,20,2.72
1982,21,4.425
1982,22,3.6
1982,23,0
1982,24,3.9666666667
1982,25,1.96
1982,26,9.25
1982,27,4.4
1982,28,14.76
1982,29,2.6666666667
1982,30,15.24
1982,31,24.02
1982,32,8.6
1982,33,0.7333333333
1982,34,0
1982,35,26.3
1982,36,13.68
1982,37,92.8
1982,38,10.42
1982,39,12.875
1982,40,20.2
1982,41,8.24
1982,42,83.88
1982,43,23.05
1982,44,83.58
1982,45,16
1982,46,12.72
1982,47,1.6
1982,48,43.92
1982,49,42.4
1982,50,2.82
1982,51,5.45
1982,52,3.45
1982,53,45.38
1982,54,25.8
1982,55,6.36
1982,56,3.7
1982,57,4.08
1982,58,31.88
1982,59,9.05
1982,60,1.24
1982,61,0
1982,62,0
1982,63,4.96
1982,64,9.8
1982,65,2.9
1982,66,0.8
1982,67,8.8
1982,68,1.45
1982,69,0.6
1982,70,0.24
1982,71,2.02
1982,72,2.8666666667
1982,73,3.8
1983,1,2.6
1983,2,0
1983,3,2.6
1983,4,5.4
1983,5,1.1333333333
1983,6,0
1983,7,0
1983,8,0
1983,9,0
1983,10,3
1983,11,0.08
1983,12,0
1983,13,2.6
1983,14,0
1983,15,0
1983,16,0
1983,17,0
1983,18,0
1983,19,0
1983,20,0
1983,21,0
1983,22,0
1983,23,0
1983,24,0
1983,25,0
1983,26,0
1983,27,0
1983,28,4.56
1983,29,10.65
1983,30,1.7
1983,31,21.625
1983,32,28.0666666667
1983,33,1.8666666667
1983,34,5.5
1983,35,0
1983,36,0.8
1983,37,5.25
1983,38,5.8
1983,39,9.78
1983,40,6.075
1983,41,8
1983,42,20.42
1983,43,20.98
1983,44,26.94
1983,45,63.5
1983,46,82.625
1983,47,7.68
1983,48,5.8
1983,49,12.0666666667
1983,50,12.88
1983,51,3.92
1983,52,10.04
1983,53,12.2
1983,54,32.5
1983,55,8.9
1983,56,0.55
1983,57,11.45
1983,58,2
1983,59,11.75
1983,60,3.6
1983,61,9.88
1983,62,4.92
1983,63,0
1983,64,5.1
1983,65,0
1983,66,1.5
1983,67,0.45
1983,68,0
1983,69,0
1983,70,0
1983,71,0
1983,72,0
1983,73,0.2
1984,1,0
1984,2,0
1984,3,0
1984,4,0
1984,5,2.45
1984,6,0.2
